id,rsquared,residual_demand_coeff,residual_demand_std,solar_coeff,solar_std,solar_sig,wind_coeff,wind_std,wind_sig,wramp_coeff,wramp_std,wramp_sig,PSTATABB,BACODE,ISORTO,LAT,LON,PLPRMFL,PLFUELCT,CAPFAC,NAMEPCAP,CHPFLAG,PLNGENAN,PLNOXAN,PLSO2AN,PLCO2AN,PLHTRT,NOXEI,SO2EI,CO2EI,Unit Type,dependent_var
55963,0.106,-0.239,0.053,-0.03,0.012,0.012,0.03,0.01,0.003,0.001,0.006,0.813,CA,CISO,CAISO,38.014423,-121.790679,NG,GAS,0.05251,47.0,,21620.0,2.019,0.1,15079.2,11736.612512,9.338575393154487e-05,4.625346901017577e-06,0.6974653098982424,Combustion turbine,Intensity
56467,0.222,-0.138,0.043,0.008,0.009,0.349,0.013,0.008,0.078,0.0,0.005,0.966,CA,CISO,CAISO,37.63466,-122.13381,NG,GAS,0.19031,655.0,,1091956.0,29.862,2.4,473379.703,7294.784085,2.7347255750231693e-05,2.1978907575030495e-06,0.4335153641721827,Combined cycle,Intensity
350,0.472,-0.647,0.059,0.021,0.013,0.092,0.043,0.01,0.0,-0.004,0.006,0.548,CA,CISO,CAISO,34.1292,-119.1689,NG,GAS,0.05146,1612.0,,726691.0,27.669,2.2,429541.688,9946.279437,3.807533050498768e-05,3.027421558819361e-06,0.5910926212103907,Dry bottom wall-fired boiler,Intensity
55151,0.191,-0.433,0.05,0.012,0.008,0.142,0.01,0.008,0.214,-0.006,0.005,0.238,CA,CISO,CAISO,35.2956,-119.5919,NG,GAS,0.15286,1200.0,,1606855.0,45.608,3.6,732593.898,7671.579732,2.8383394892507412e-05,2.240401280762732e-06,0.4559178631550451,Combined cycle,Intensity
56475,0.111,0.032,0.085,-0.065,0.017,0.0,0.018,0.016,0.264,0.005,0.009,0.591,CA,CISO,CAISO,33.9296,-118.1046,NG,GAS,0.03833,59.8,,20077.0,1.241,0.1,13767.4,11538.85743,6.181202370872143e-05,4.980823828261195e-06,0.6857299397320317,Combustion turbine,Intensity
10294,0.179,-0.328,0.064,-0.025,0.017,0.138,-0.043,0.011,0.0,0.015,0.006,0.015,CA,CISO,CAISO,36.225,-121.1278,NG,GAS,0.05275,133.2,Yes,61552.0,9.302,0.167,31375.987,8577.113244,0.00015112425266441382,2.7131531063166104e-06,0.509747644268261,Combined cycle,Intensity
55499,0.091,0.057,0.075,0.01,0.019,0.595,0.001,0.014,0.966,-0.0,0.008,0.993,CA,CISO,CAISO,38.398867,-121.923973,NG,GAS,0.0324,60.5,,17169.0,1.238,0.1,10726.3,10729.08294,7.210670394315335e-05,5.824451045488963e-06,0.6247480924922826,Combustion turbine,Intensity
55508,0.135,0.01,0.064,-0.02,0.014,0.167,0.012,0.013,0.336,-0.002,0.007,0.798,CA,CISO,CAISO,36.6535,-120.5783,NG,GAS,0.02225,117.2,,22841.0,1.217,0.1,12249.0,9138.318977,5.328137997460707e-05,4.378092027494418e-06,0.5362724924477913,Combustion turbine,Intensity
55542,0.084,-0.074,0.049,-0.037,0.011,0.001,-0.007,0.01,0.476,0.005,0.006,0.396,CA,CISO,CAISO,32.567041,-116.944197,NG,GAS,0.03933,99.8,,34385.0,3.24,0.1,20792.8,10176.086048,9.422713392467646e-05,2.9082448742184095e-06,0.6047055402064854,Combustion turbine,Intensity
56639,0.094,-0.106,0.048,0.034,0.011,0.003,0.004,0.011,0.737,0.006,0.006,0.33,CA,CISO,CAISO,36.654114,-120.579727,NG,GAS,0.02491,139.8,,30509.0,2.566,0.2,20710.7,11422.148485,8.410632927988462e-05,6.555442656265365e-06,0.6788390311055754,Combustion turbine,Intensity
